avg_train_mse,avg_train_rmse,avg_val_mse,avg_val_rmse,avg_val_r2,avg_epochs,model_name,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/learning_rate,config/batch_size,config/epochs,config/model,config/num_conv_layers,config/num_fcn_layers,config/fcn_width,config/lstm_hidden_size,config/lstm_num_layers,config/log_dir,config/model_dir,config/early_stop_patience,config/fold_early_stop,config/print,config/tune,config/loocv
0.30017832236315195,0.5478853186234798,0.6586121179372576,0.8115492085741058,0.40156666338727864,25.90909090909091,CNNLSTMFCNRegressor_conv3_fcn3_fcnw32_lstm1_lstmh64_lr0.001_batch16_epochs100,1732812938,,True,12,2024-11-28_10-55-38,0.0002639293670654297,894.1082463264465,85557,Tylers-MacBook-Pro.local,127.0.0.1,894.1082463264465,12,"10_batch_size=16,fcn_width=32,learning_rate=0.0010,lstm_hidden_size=64,lstm_num_layers=1,num_conv_layers=3,num_fcn_layers=3",0.001,16,100,<class '__main__.CNNLSTMFCNRegressor'>,3,3,32,64,1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/logs/CNNLSTMFCN/run1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/models/CNNLSTMFCN/run1,20,20,False,True,True
0.31406803012760837,0.5604177282417182,0.6308559198494348,0.7942643891359066,0.41737620519649093,27.272727272727273,CNNLSTMFCNRegressor_conv3_fcn3_fcnw32_lstm1_lstmh64_lr0.001_batch32_epochs100,1732812942,,True,12,2024-11-28_10-55-42,0.0006148815155029297,810.6281595230103,86508,Tylers-MacBook-Pro.local,127.0.0.1,810.6281595230103,12,"11_batch_size=32,fcn_width=32,learning_rate=0.0010,lstm_hidden_size=64,lstm_num_layers=1,num_conv_layers=3,num_fcn_layers=3",0.001,32,100,<class '__main__.CNNLSTMFCNRegressor'>,3,3,32,64,1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/logs/CNNLSTMFCN/run1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/models/CNNLSTMFCN/run1,20,20,False,True,True
1.1821265899442546,1.0872564508634817,1.1944030550752103,1.092887485094056,-0.0766535714057503,30.636363636363637,CNNLSTMFCNRegressor_conv3_fcn3_fcnw32_lstm1_lstmh64_lr0.05_batch16_epochs100,1732813134,,True,12,2024-11-28_10-58-54,0.0011909008026123047,1000.9619085788727,86525,Tylers-MacBook-Pro.local,127.0.0.1,1000.9619085788727,12,"12_batch_size=16,fcn_width=32,learning_rate=0.0500,lstm_hidden_size=64,lstm_num_layers=1,num_conv_layers=3,num_fcn_layers=3",0.05,16,100,<class '__main__.CNNLSTMFCNRegressor'>,3,3,32,64,1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/logs/CNNLSTMFCN/run1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/models/CNNLSTMFCN/run1,20,20,False,True,True
1.1641917943508469,1.0789771982534417,1.1937331567833984,1.0925809612030581,-0.062178033792034064,27.818181818181817,CNNLSTMFCNRegressor_conv3_fcn3_fcnw32_lstm1_lstmh64_lr0.05_batch32_epochs100,1732813052,,True,12,2024-11-28_10-57-32,0.0046536922454833984,903.9178111553192,86700,Tylers-MacBook-Pro.local,127.0.0.1,903.9178111553192,12,"13_batch_size=32,fcn_width=32,learning_rate=0.0500,lstm_hidden_size=64,lstm_num_layers=1,num_conv_layers=3,num_fcn_layers=3",0.05,32,100,<class '__main__.CNNLSTMFCNRegressor'>,3,3,32,64,1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/logs/CNNLSTMFCN/run1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/models/CNNLSTMFCN/run1,20,20,False,True,True
0.4996848695260491,0.7068839151699868,0.6787321550399565,0.8238520225380019,0.3639029840231872,32.18181818181818,CNNLSTMFCNRegressor_conv3_fcn3_fcnw32_lstm1_lstmh64_lr0.01_batch16_epochs100,1732813490,,True,12,2024-11-28_11-04-50,0.002357959747314453,1221.0494742393494,87902,Tylers-MacBook-Pro.local,127.0.0.1,1221.0494742393494,12,"14_batch_size=16,fcn_width=32,learning_rate=0.0100,lstm_hidden_size=64,lstm_num_layers=1,num_conv_layers=3,num_fcn_layers=3",0.01,16,100,<class '__main__.CNNLSTMFCNRegressor'>,3,3,32,64,1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/logs/CNNLSTMFCN/run1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/models/CNNLSTMFCN/run1,20,20,False,True,True
0.3691127549188607,0.6075465043260974,0.5351627602853448,0.7315481940961545,0.47954473059550673,38.27272727272727,CNNLSTMFCNRegressor_conv3_fcn3_fcnw32_lstm1_lstmh64_lr0.01_batch32_epochs100,1732813474,,True,12,2024-11-28_11-04-34,0.00023031234741210938,1179.2848153114319,88141,Tylers-MacBook-Pro.local,127.0.0.1,1179.2848153114319,12,"15_batch_size=32,fcn_width=32,learning_rate=0.0100,lstm_hidden_size=64,lstm_num_layers=1,num_conv_layers=3,num_fcn_layers=3",0.01,32,100,<class '__main__.CNNLSTMFCNRegressor'>,3,3,32,64,1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/logs/CNNLSTMFCN/run1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/models/CNNLSTMFCN/run1,20,20,False,True,True
0.3593717884773771,0.5994762618130739,0.6115658204594104,0.782026738967032,0.4293563824239932,32.18181818181818,CNNLSTMFCNRegressor_conv3_fcn3_fcnw32_lstm2_lstmh32_lr0.005_batch16_epochs100,1732813674,,True,12,2024-11-28_11-07-54,0.0011701583862304688,1319.4553151130676,88615,Tylers-MacBook-Pro.local,127.0.0.1,1319.4553151130676,12,"16_batch_size=16,fcn_width=32,learning_rate=0.0050,lstm_hidden_size=32,lstm_num_layers=2,num_conv_layers=3,num_fcn_layers=3",0.005,16,100,<class '__main__.CNNLSTMFCNRegressor'>,3,3,32,32,2,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/logs/CNNLSTMFCN/run1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/models/CNNLSTMFCN/run1,20,20,False,True,True
0.3201170596433789,0.5657888825731545,0.7327018072691402,0.8559800273774735,0.3371201959839103,35.0,CNNLSTMFCNRegressor_conv3_fcn3_fcnw32_lstm2_lstmh32_lr0.005_batch32_epochs100,1732813442,,True,12,2024-11-28_11-04-02,0.0003273487091064453,1021.4344131946564,89140,Tylers-MacBook-Pro.local,127.0.0.1,1021.4344131946564,12,"17_batch_size=32,fcn_width=32,learning_rate=0.0050,lstm_hidden_size=32,lstm_num_layers=2,num_conv_layers=3,num_fcn_layers=3",0.005,32,100,<class '__main__.CNNLSTMFCNRegressor'>,3,3,32,32,2,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/logs/CNNLSTMFCN/run1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/models/CNNLSTMFCN/run1,20,20,False,True,True
0.31556605988879427,0.5617526678964634,0.7347726997246459,0.8571888355109659,0.2683404580729763,26.90909090909091,CNNLSTMFCNRegressor_conv3_fcn3_fcnw32_lstm2_lstmh32_lr0.001_batch16_epochs100,1732813427,,True,12,2024-11-28_11-03-47,0.0010061264038085938,912.881101846695,89950,Tylers-MacBook-Pro.local,127.0.0.1,912.881101846695,12,"18_batch_size=16,fcn_width=32,learning_rate=0.0010,lstm_hidden_size=32,lstm_num_layers=2,num_conv_layers=3,num_fcn_layers=3",0.001,16,100,<class '__main__.CNNLSTMFCNRegressor'>,3,3,32,32,2,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/logs/CNNLSTMFCN/run1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/models/CNNLSTMFCN/run1,20,20,False,True,True
0.3192733389085016,0.5650427761758411,0.6597911622238359,0.8122752995283286,0.3347069563917999,32.0,CNNLSTMFCNRegressor_conv3_fcn3_fcnw32_lstm2_lstmh32_lr0.001_batch32_epochs100,1732813602,,True,12,2024-11-28_11-06-42,0.0002830028533935547,992.8833718299866,90873,Tylers-MacBook-Pro.local,127.0.0.1,992.8833718299866,12,"19_batch_size=32,fcn_width=32,learning_rate=0.0010,lstm_hidden_size=32,lstm_num_layers=2,num_conv_layers=3,num_fcn_layers=3",0.001,32,100,<class '__main__.CNNLSTMFCNRegressor'>,3,3,32,32,2,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/logs/CNNLSTMFCN/run1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/models/CNNLSTMFCN/run1,20,20,False,True,True
