avg_train_mse,avg_train_rmse,avg_val_mse,avg_val_rmse,avg_val_r2,avg_epochs,model_name,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/learning_rate,config/batch_size,config/epochs,config/model,config/num_conv_layers,config/num_fcn_layers,config/fcn_width,config/log_dir,config/model_dir,config/early_stop_patience,config/fold_early_stop,config/print,config/tune,config/loocv
0.3196695759864831,0.5653932931919896,0.5612410618960393,0.7491602377969878,0.3531787702775779,40.72727272727273,CNNFCNRegressor_conv1_fcn1_fcnw64_lr0.05_batch16_epochs100,1732767368,,True,12,2024-11-27_22-16-08,0.0001552104949951172,258.14671635627747,14398,Tylers-MacBook-Pro.local,127.0.0.1,258.14671635627747,12,"10_batch_size=16,fcn_width=64,learning_rate=0.0500,num_conv_layers=1,num_fcn_layers=1",0.05,16,100,<class '__main__.CNNFCNRegressor'>,1,1,64,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/logs/CNNFCN/run1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/models/CNNFCN/run1,20,20,False,True,True
0.29181459900937906,0.5401986662417625,0.6673738534684716,0.8169295278470913,0.4047641990913711,41.81818181818182,CNNFCNRegressor_conv1_fcn1_fcnw64_lr0.05_batch32_epochs100,1732767344,,True,12,2024-11-27_22-15-44,0.00047898292541503906,226.4731307029724,14471,Tylers-MacBook-Pro.local,127.0.0.1,226.4731307029724,12,"11_batch_size=32,fcn_width=64,learning_rate=0.0500,num_conv_layers=1,num_fcn_layers=1",0.05,32,100,<class '__main__.CNNFCNRegressor'>,1,1,64,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/logs/CNNFCN/run1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/models/CNNFCN/run1,20,20,False,True,True
0.24624142451919748,0.4962271904271243,0.6608819225990499,0.8129464450989683,0.3038112926883072,47.27272727272727,CNNFCNRegressor_conv1_fcn1_fcnw32_lr0.01_batch16_epochs100,1732767424,,True,12,2024-11-27_22-17-04,0.001088857650756836,300.73625802993774,14509,Tylers-MacBook-Pro.local,127.0.0.1,300.73625802993774,12,"12_batch_size=16,fcn_width=32,learning_rate=0.0100,num_conv_layers=1,num_fcn_layers=1",0.01,16,100,<class '__main__.CNNFCNRegressor'>,1,1,32,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/logs/CNNFCN/run1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/models/CNNFCN/run1,20,20,False,True,True
0.2630386151390529,0.5128729034946699,0.6980683200072592,0.8355048294338334,0.36280798566936523,44.90909090909091,CNNFCNRegressor_conv1_fcn1_fcnw32_lr0.01_batch32_epochs100,1732767370,,True,12,2024-11-27_22-16-10,0.0005400180816650391,245.4766652584076,14522,Tylers-MacBook-Pro.local,127.0.0.1,245.4766652584076,12,"13_batch_size=32,fcn_width=32,learning_rate=0.0100,num_conv_layers=1,num_fcn_layers=1",0.01,32,100,<class '__main__.CNNFCNRegressor'>,1,1,32,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/logs/CNNFCN/run1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/models/CNNFCN/run1,20,20,False,True,True
0.2504806348236864,0.5004804040356489,0.8223535495794777,0.9068371130360059,0.1945085354156152,47.0,CNNFCNRegressor_conv1_fcn1_fcnw64_lr0.01_batch16_epochs100,1732767425,,True,12,2024-11-27_22-17-05,0.0002830028533935547,298.83256912231445,14549,Tylers-MacBook-Pro.local,127.0.0.1,298.83256912231445,12,"14_batch_size=16,fcn_width=64,learning_rate=0.0100,num_conv_layers=1,num_fcn_layers=1",0.01,16,100,<class '__main__.CNNFCNRegressor'>,1,1,64,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/logs/CNNFCN/run1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/models/CNNFCN/run1,20,20,False,True,True
0.2619516617533448,0.5118121352150071,0.5936628673668163,0.7704952091783674,0.459102564561773,35.81818181818182,CNNFCNRegressor_conv1_fcn1_fcnw64_lr0.01_batch32_epochs100,1732767333,,True,12,2024-11-27_22-15-33,0.0013148784637451172,196.17401027679443,14634,Tylers-MacBook-Pro.local,127.0.0.1,196.17401027679443,12,"15_batch_size=32,fcn_width=64,learning_rate=0.0100,num_conv_layers=1,num_fcn_layers=1",0.01,32,100,<class '__main__.CNNFCNRegressor'>,1,1,64,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/logs/CNNFCN/run1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/models/CNNFCN/run1,20,20,False,True,True
0.18781673766224988,0.4333782847146934,0.8735718431270579,0.9346506529859474,-0.07645084006123101,22.727272727272727,CNNFCNRegressor_conv2_fcn1_fcnw32_lr0.005_batch16_epochs100,1732767451,,True,12,2024-11-27_22-17-31,0.0011649131774902344,294.0293309688568,14800,Tylers-MacBook-Pro.local,127.0.0.1,294.0293309688568,12,"16_batch_size=16,fcn_width=32,learning_rate=0.0050,num_conv_layers=2,num_fcn_layers=1",0.005,16,100,<class '__main__.CNNFCNRegressor'>,2,1,32,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/logs/CNNFCN/run1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/models/CNNFCN/run1,20,20,False,True,True
0.1905074887429654,0.43647163566830477,0.7169770442084206,0.8467449699929847,0.28218684768867996,25.0,CNNFCNRegressor_conv2_fcn1_fcnw32_lr0.005_batch32_epochs100,1732767529,,True,12,2024-11-27_22-18-49,0.00024700164794921875,356.2559025287628,14919,Tylers-MacBook-Pro.local,127.0.0.1,356.2559025287628,12,"17_batch_size=32,fcn_width=32,learning_rate=0.0050,num_conv_layers=2,num_fcn_layers=1",0.005,32,100,<class '__main__.CNNFCNRegressor'>,2,1,32,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/logs/CNNFCN/run1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/models/CNNFCN/run1,20,20,False,True,True
0.17904981598890565,0.4231427843989611,0.7537214464910555,0.8681713232369839,0.19488619914872396,27.363636363636363,CNNFCNRegressor_conv2_fcn1_fcnw64_lr0.005_batch16_epochs100,1732767630,,True,12,2024-11-27_22-20-30,0.0005650520324707031,422.788455247879,15200,Tylers-MacBook-Pro.local,127.0.0.1,422.788455247879,12,"18_batch_size=16,fcn_width=64,learning_rate=0.0050,num_conv_layers=2,num_fcn_layers=1",0.005,16,100,<class '__main__.CNNFCNRegressor'>,2,1,64,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/logs/CNNFCN/run1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/models/CNNFCN/run1,20,20,False,True,True
0.18517952331156504,0.4303249043589797,0.6797824975817709,0.8244892343637792,0.3318615035768165,27.181818181818183,CNNFCNRegressor_conv2_fcn1_fcnw64_lr0.005_batch32_epochs100,1732767613,,True,12,2024-11-27_22-20-13,0.001567840576171875,386.56833267211914,15343,Tylers-MacBook-Pro.local,127.0.0.1,386.56833267211914,12,"19_batch_size=32,fcn_width=64,learning_rate=0.0050,num_conv_layers=2,num_fcn_layers=1",0.005,32,100,<class '__main__.CNNFCNRegressor'>,2,1,64,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/logs/CNNFCN/run1,/Users/tyler/GitHub Repositories/UT Austin/2024 Fall/CSML/Final-Project/EE-Estimation/models/CNNFCN/run1,20,20,False,True,True
